"country","Lat","Lon","Site","prev_above_0","wk3_start","wk2_start","wk1_start","t4","date","genus","scientific","susceptibility","nPos_FS","nNeg_FS","nDead_FS","nAlive_FS","nFatalUnk_FS","nPos_all","nNeg_all","nDead_all","nAlive_all","nFatalUnk_all","richness","sppAbun","siteAbun","wk3_avgTemp","wk2_avgTemp","wk1_avgTemp","temp_t4","temp_t0","wk3_avgSM","wk2_avgSM","wk1_avgSM","soilM_t4","soilM_t0","tmin_wc","tavg_wc","tmax_wc","prec_wc","bio1_wc","bio2_wc","bio3_wc","bio4_wc","bio5_wc","bio6_wc","bio7_wc","bio8_wc","bio9_wc","bio10_wc","bio11_wc","bio12_wc","bio13_wc","bio14_wc","bio15_wc","bio16_wc","bio17_wc","bio18_wc","bio19_wc","diagnosticLab","principalInvestigator","Sample_bcid","collectorList"
"Spain",37.11383,-4.17356,1,"0",2018-08-10,2018-08-17,2018-08-24,2018-09-03,2018-09-07,"Pleurodeles","Pleurodeles waltl",2,0,0,0,0,0,0,1,0,0,1,1,1,1,25.6002049037389,24.8216404506137,25.5304809570312,24.469842529297,21.693017578125,4.03337982722691,4.13029037203107,4.02562969071524,3.91422843933105,4.01029539108276,11.2959995269775,18.5,25.6960010528564,2.5,12.5454998016357,12.4490003585815,39.3060111999512,668.379150390625,31.3999996185303,-0.27199998497963,31.6719989776611,6.07866668701172,21.3159999847412,21.3159999847412,5.10133361816406,64.9,9.1,0.4,5.81889190673828,26.4,3.3,3.3,25.6,NA,"An Martel",NA,"Jaime Bosch"
"Spain",39.44101,-5.45495,3,"0",2021-11-26,2021-12-03,2021-12-10,2021-12-20,2021-12-24,"Salamandra","Salamandra salamandra",3,0,1,0,0,1,0,1,0,0,1,1,1,1,6.33701695033475,7.72727137974346,10.1359627859933,9.64370117187502,11.291772460938,4.92782006944929,5.01691790989467,5.0003194127764,5.04668378829956,5.68146467208862,2.11199998855591,5.90399980545044,9.69200038909912,9.2,12.7410001754761,10.3253335952759,36.4698143005371,636.687744140625,29.1879997253418,0.875999987125397,28.3120002746582,6.510666847229,21.1299991607666,21.1299991607666,5.67866659164429,66.4,9.2,0.8,5.02505874633789,25.7,4.8,4.8,24.5,NA,"An Martel",NA,"Jaime Bosch"
"Spain",39.44112,-5.45492,4,"0",2021-11-26,2021-12-03,2021-12-10,2021-12-20,2021-12-24,"Pleurodeles","Pleurodeles waltl",2,0,0,0,0,0,0,1,0,0,1,1,1,1,6.33701695033475,7.72727137974346,10.1359627859933,9.64370117187502,11.291772460938,4.92782006944929,5.01691790989467,5.0003194127764,5.04668378829956,5.68146467208862,2.11199998855591,5.90399980545044,9.69200038909912,9.2,12.7410001754761,10.3253335952759,36.4698143005371,636.687744140625,29.1879997253418,0.875999987125397,28.3120002746582,6.510666847229,21.1299991607666,21.1299991607666,5.67866659164429,66.4,9.2,0.8,5.02505874633789,25.7,4.8,4.8,24.5,NA,"An Martel",NA,"Jaime Bosch"
"Spain",40.406,-6.247,6,"0",1905-06-15,1905-06-22,1905-06-29,1905-07-09,1905-07-13,"Triturus","Triturus marmoratus",3,0,0,0,0,0,0,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6440000534058,21.4720001220703,27.2840003967285,1.3,12.8811664581299,9.11233329772949,36.4902038574219,573.135803222656,27.2840003967285,2.31200003623962,24.9720001220703,7.31866693496704,20.4206657409668,20.4206657409668,6.49733352661133,87.1,12.9,1.3,5.39211921691895,35.8,6.5,6.5,35.4,NA,"An Martel",NA,"Jaime Bosch"
"Spain",40.56363,-4.11764,7,"0",2021-05-28,2021-06-04,2021-06-11,2021-06-21,2021-06-25,"Pleurodeles","Pleurodeles waltl",2,0,0,0,0,0,0,1,0,0,1,1,1,1,17.7203744070872,19.6434395926339,20.4331298828127,13.108026123047,19.641564941406,4.22266006469727,4.03162622451782,3.93334739548819,4.19360303878784,4.02886915206909,12.6479997634888,18.7439994812012,24.8360004425049,3.1,12.4558334350586,10.4496669769287,36.1480102539062,667.439575195312,29.2320003509521,0.324000000953674,28.9080009460449,8.52600002288818,21.0826663970947,21.1986675262451,4.96000003814697,40,5,1.5,3.41553955078125,13.2,5.8,6.2,10.7,NA,"An Martel",NA,"Jaime Bosch"
"Spain",41.28036,-5.71167,13,"0",2019-02-04,2019-02-11,2019-02-18,2019-02-28,2019-03-04,"Salamandra","Salamandra salamandra",3,0,1,0,0,1,0,1,0,0,1,1,1,1,5.95643223353803,6.69114292689746,8.72141200474346,8.96975097656201,10.000299072266,5.66994040352958,5.56819793156215,5.53655351911272,5.42622327804565,5.38358497619629,2.12800002098083,7.72399997711182,13.3079996109009,4.3,11.6713333129883,11.1999998092651,39.1444129943848,613.218688964844,28.4720001220703,-0.140000000596046,28.6119995117188,5.41666650772095,19.541332244873,19.6013336181641,4.70333337783813,64.6,8.5,1.6,4.1249927520752,23.6,7.1,7.7,23.3,NA,"An Martel",NA,"Jaime Bosch"
"Spain",41.3875,-6.2024,16,"0",2019-10-28,2019-11-04,2019-11-11,2019-11-21,2019-11-25,"Pleurodeles","Pleurodeles waltl",2,0,0,0,0,0,0,1,0,0,1,1,1,1,15.3353951590402,8.01084071568074,6.96636352539045,7.70153198242201,11.843499755859,4.42952401297433,4.47293376922607,4.48776817321777,4.61175203323364,4.70012331008911,3.55599999427795,7.97600030899048,12.3959999084473,10.9,12.0026664733887,11.2593336105347,39.154727935791,609.650756835938,28.988000869751,0.232000008225441,28.7560005187988,5.16333341598511,19.9320011138916,19.9320011138916,5.16333341598511,93.8,13.4,1.8,5.11960411071777,38.4,8.2,8.2,38.4,NA,"An Martel",NA,"Jaime Bosch"
"Spain",41.621947,2.484327,17,"0",2018-05-15,2018-05-22,2018-05-29,2018-06-08,2018-06-12,"Alytes","Alytes obstetricans",1,0,0,0,0,0,0,22,0,22,0,9,22,76,12.4835867745536,12.5143993559338,12.5515510680184,18.533746337891,18.525384521484,4.82346003017728,4.83193852560861,4.83276986318921,4.98608016967773,4.95773839950562,13.9720001220703,18.6720008850098,23.3479995727539,5.5,13.8403329849243,9.22733306884766,37.6011962890625,557.067565917969,27.068000793457,2.52799987792969,24.5400009155273,14.8266668319702,20.9306678771973,21.1066665649414,7.64333343505859,78.2,9.3,3.5,2.39642772674561,25.4,15.4,18.7,17.4,"An Martel","An Martel",NA,"An Martel"
"Spain",41.621947,2.484327,17,"0",2018-07-30,2018-08-06,2018-08-13,2018-08-23,2018-08-27,"Alytes","Alytes obstetricans",1,0,0,0,0,0,0,5,5,0,0,1,5,5,12.4835867745536,12.5143993559338,12.5515510680184,24.023095703125,22.480920410156,4.82346003017728,4.83193852560861,4.83276986318921,4.18256664276123,4.27480220794678,17.2280006408691,22.1520004272461,27.068000793457,6.4,13.8403329849243,9.22733306884766,37.6011962890625,557.067565917969,27.068000793457,2.52799987792969,24.5400009155273,14.8266668319702,20.9306678771973,21.1066665649414,7.64333343505859,78.2,9.3,3.5,2.39642772674561,25.4,15.4,18.7,17.4,"An Martel","An Martel",NA,"An Martel"
"Spain",41.621947,2.484327,17,"0",2018-08-06,2018-08-13,2018-08-20,2018-08-30,2018-09-03,"Alytes","Alytes obstetricans",1,0,0,0,0,0,0,4,4,0,0,1,4,4,12.4835867745536,12.5143993559338,12.5515510680184,21.702935791016,21.413659667969,4.82346003017728,4.83193852560861,4.83276986318921,4.6291766166687,4.97432422637939,14.539999961853,19.1879997253418,23.8360004425049,8.8,13.8403329849243,9.22733306884766,37.6011962890625,557.067565917969,27.068000793457,2.52799987792969,24.5400009155273,14.8266668319702,20.9306678771973,21.1066665649414,7.64333343505859,78.2,9.3,3.5,2.39642772674561,25.4,15.4,18.7,17.4,"An Martel","An Martel",NA,"An Martel"
